pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.1833490000572056,None,0,0,0,0,,,,,0.01900259987451136,,0.014413899974897504,0.01900259987451136,1.014013099949807,1.014013099949807,1.014013099949807,1.014013099949807,1.0305760998744518,2.0132002998143435,2.0132002998143435,3.2076331998687238,x,1,1.1833490000572056,None,,,,,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
150,v,1,1,0,v,1,0.7103763001505286,None,0,1,1,1,,,,,3.213719099992886,,3.2081733997911215,3.213719099992886,4.213819699827582,4.213819699827582,4.213819699827582,4.213819699827582,4.213819699827582,5.213821399956942,5.213821399956942,5.930237599881366,v,1,0.7103763001505286,None,,,,,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
50,c,2,2,0,c,1,0.6366013998631388,None,0,2,2,2,,,,,5.946559599833563,,5.930574300000444,5.946559599833563,6.930256699910387,6.930256699910387,6.930256699910387,6.930256699910387,6.947383499937132,7.930540399858728,7.930540399858728,8.581108199898154,c,1,0.6366013998631388,None,,,,,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
-150,z,3,3,0,z,1,0.35709940013475716,None,0,3,3,3,,,,,8.59731959993951,,8.581650499952957,8.59731959993951,9.580568799981847,9.580568799981847,9.580568799981847,9.580568799981847,9.596926199970767,10.580555799882859,10.580555799882859,10.948136699851602,z,1,0.35709940013475716,None,,,,,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
-50,x,4,0,1,x,1,0.387505300110206,None,1,0,4,0,,,,,10.963777099968866,,10.948754199780524,10.963777099968866,11.947446499951184,11.947446499951184,11.947446499951184,11.947446499951184,11.964273699792102,12.963824299862608,12.963824299862608,13.364784099860117,x,1,0.387505300110206,None,,,,,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
150,v,5,1,1,v,1,0.6076496001332998,None,1,1,5,1,,,,,13.38037859997712,,13.365387099795043,13.38037859997712,14.363695899955928,14.363695899955928,14.363695899955928,14.363695899955928,14.38051089993678,15.38029389991425,15.38029389991425,15.997897499939427,v,1,0.6076496001332998,None,,,,,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
50,c,6,2,1,c,1,0.5761065001133829,None,1,2,6,2,,,,,16.013677599839866,,15.998505299910903,16.013677599839866,17.014018699992448,17.014018699992448,17.014018699992448,17.014018699992448,17.014018699992448,18.013832099968567,18.013832099968567,18.597983099985868,c,1,0.5761065001133829,None,,,,,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
-150,z,7,3,1,z,1,0.5254406998865306,None,1,3,7,3,,,,,18.613888699794188,,18.598540699807927,18.613888699794188,19.613751999801025,19.613751999801025,19.613751999801025,19.613751999801025,19.613751999801025,20.597172199981287,20.597172199981287,21.131278899963945,z,1,0.5254406998865306,None,,,,,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
-50,x,8,0,2,x,1,0.4055616999976337,None,2,0,8,0,,,,,21.147372199920937,,21.131885199807584,21.147372199920937,22.130713799968362,22.130713799968362,22.130713799968362,22.130713799968362,22.147037899820134,23.130261699901894,23.130261699901894,23.548163699917495,x,1,0.4055616999976337,None,,,,,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
150,v,9,1,2,v,1,0.42495639994740486,None,2,1,9,1,,,,,23.56369909993373,,23.54877969995141,23.56369909993373,24.56386649981141,24.56386649981141,24.56386649981141,24.56386649981141,24.56386649981141,25.56422399985604,25.56422399985604,25.998022799845785,v,1,0.42495639994740486,None,,,,,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
