pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.3281651998404413,None,0,0,0,0,,,,,0.013457000022754073,,0.009560399921610951,0.013457000022754073,1.001854700036347,1.001854700036347,1.001854700036347,1.001854700036347,1.0185068999417126,2.0010331999510527,2.0010331999510527,3.346382000017911,x,1,1.3281651998404413,None,,,,,Partcipant-2,001,2025-10-02_15h14.42.449,untitled,,2025.1.1,60.022388339650966,2025-10-02 15h14.52.098516 +0530,
150,v,1,1,0,v,1,0.6553026000037789,None,0,1,1,1,,,,,3.3518217999953777,,3.346949900034815,3.3518217999953777,4.351578500121832,4.351578500121832,4.351578500121832,4.351578500121832,4.351578500121832,5.351740800077096,5.351740800077096,6.019128900021315,v,1,0.6553026000037789,None,,,,,Partcipant-2,001,2025-10-02_15h14.42.449,untitled,,2025.1.1,60.022388339650966,2025-10-02 15h14.52.098516 +0530,
50,c,2,2,0,c,1,0.3495594998821616,None,0,2,2,2,,,,,6.0350510000716895,,6.019757299916819,6.0350510000716895,7.018639400135726,7.018639400135726,7.018639400135726,7.018639400135726,7.035022400086746,8.034360999939963,8.034360999939963,8.385893899947405,c,1,0.3495594998821616,None,,,,,Partcipant-2,001,2025-10-02_15h14.42.449,untitled,,2025.1.1,60.022388339650966,2025-10-02 15h14.52.098516 +0530,
-150,z,3,3,0,z,1,0.3904174000490457,None,0,3,3,3,,,,,8.401700000045821,,8.386517399922013,8.401700000045821,9.401251000119373,9.401251000119373,9.401251000119373,9.401251000119373,9.401251000119373,10.401787800015882,10.401787800015882,10.802426400128752,z,1,0.3904174000490457,None,,,,,Partcipant-2,001,2025-10-02_15h14.42.449,untitled,,2025.1.1,60.022388339650966,2025-10-02 15h14.52.098516 +0530,
-50,x,4,0,1,x,1,0.41804479993879795,None,1,0,4,0,,,,,10.818136000074446,,10.803037000121549,10.818136000074446,11.801288899965584,11.801288899965584,11.801288899965584,11.801288899965584,11.818272999953479,12.81828000000678,12.81828000000678,13.25261739990674,x,1,0.41804479993879795,None,,,,,Partcipant-2,001,2025-10-02_15h14.42.449,untitled,,2025.1.1,60.022388339650966,2025-10-02 15h14.52.098516 +0530,
150,v,5,1,1,v,1,0.548555500106886,None,1,1,5,1,,,,,13.268226200016215,,13.25348490010947,13.268226200016215,14.268355600070208,14.268355600070208,14.268355600070208,14.268355600070208,14.268355600070208,15.268117200117558,15.268117200117558,15.819193300092593,v,1,0.548555500106886,None,,,,,Partcipant-2,001,2025-10-02_15h14.42.449,untitled,,2025.1.1,60.022388339650966,2025-10-02 15h14.52.098516 +0530,
50,c,6,2,1,c,1,0.44282510015182197,None,1,2,6,2,,,,,15.834956899983808,,15.819856999907643,15.834956899983808,16.834785599960014,16.834785599960014,16.834785599960014,16.834785599960014,16.834785599960014,17.81838360009715,17.81838360009715,18.269343399908394,c,1,0.44282510015182197,None,,,,,Partcipant-2,001,2025-10-02_15h14.42.449,untitled,,2025.1.1,60.022388339650966,2025-10-02 15h14.52.098516 +0530,
-150,z,7,3,1,z,1,0.5529463000129908,None,1,3,7,3,,,,,18.28508220007643,,18.26999430009164,18.28508220007643,19.284821999957785,19.284821999957785,19.284821999957785,19.284821999957785,19.284821999957785,20.268364999908954,20.268364999908954,20.835826100083068,z,1,0.5529463000129908,None,,,,,Partcipant-2,001,2025-10-02_15h14.42.449,untitled,,2025.1.1,60.022388339650966,2025-10-02 15h14.52.098516 +0530,
-50,x,8,0,2,x,1,0.4442908999044448,None,2,0,8,0,,,,,20.85159959993325,,20.836358099943027,20.85159959993325,21.834931399906054,21.834931399906054,21.834931399906054,21.834931399906054,21.85175699996762,22.8517964000348,22.8517964000348,23.30250469991006,x,1,0.4442908999044448,None,,,,,Partcipant-2,001,2025-10-02_15h14.42.449,untitled,,2025.1.1,60.022388339650966,2025-10-02 15h14.52.098516 +0530,
150,v,9,1,2,v,1,0.5824076998978853,None,2,1,9,1,,,,,23.318234600126743,,23.30311460001394,23.318234600126743,24.30193529999815,24.30193529999815,24.30193529999815,24.30193529999815,24.318458100082353,25.301832899916917,25.301832899916917,25.88565509999171,v,1,0.5824076998978853,None,,,,,Partcipant-2,001,2025-10-02_15h14.42.449,untitled,,2025.1.1,60.022388339650966,2025-10-02 15h14.52.098516 +0530,
50,c,10,2,2,c,1,0.39414079999551177,None,2,2,10,2,,,,,25.901796099962667,,25.88648120011203,25.901796099962667,26.885016600135714,26.885016600135714,26.885016600135714,26.885016600135714,26.90189759992063,27.88509829994291,27.88509829994291,28.28572449996136,c,1,0.39414079999551177,None,,,,,Partcipant-2,001,2025-10-02_15h14.42.449,untitled,,2025.1.1,60.022388339650966,2025-10-02 15h14.52.098516 +0530,
-150,z,11,3,2,z,1,0.8186441999860108,None,2,3,11,3,,,,,28.301893699914217,,28.2862539999187,28.301893699914217,29.28524659993127,29.28524659993127,29.28524659993127,29.28524659993127,29.301690000109375,30.284769600024447,30.284769600024447,31.119196499930695,z,1,0.8186441999860108,None,,,,,Partcipant-2,001,2025-10-02_15h14.42.449,untitled,,2025.1.1,60.022388339650966,2025-10-02 15h14.52.098516 +0530,
