delay,condition,textbox.text,,,,
0.4,exp,800,,,,
0.7,exp,800,,,,
0.1,exp,800,,,,
0.4,exp,800,,,,
0.4,exp,800,,,,
0.1,exp,800,,,,
0.1,exp,950,,,,
0.1,exp,750,,,,
0.7,exp,800,,,,
0.1,exp,850,,,,
0.4,exp,900,,,,
0.7,exp,900,,,,
0.1,exp,800,,,,
0.4,exp,800,,,,
0.4,exp,850,,,,
0.7,exp,700,,,,
0.1,exp,900,,,,
0.1,exp,700,,,,
0.7,exp,800,,,,
0.7,exp,800,,,,
0.4,exp,900,,,,
0.4,exp,850,,,,
0.4,exp,700,,,,
0.7,exp,750,,,,
0.4,exp,800,,,,
0.1,exp,850,,,,
0.4,exp,600,,,,
0.7,exp,800,,,,
0.1,exp,800,,,,
0.1,exp,900,,,,
0.7,exp,900,,,,
0.7,exp,850,,,,
0.1,exp,600,,,,
0.7,exp,700,,,,
0.7,exp,800,,,,
0.1,exp,800,,,,
0.1,exp,200,,,,
0.7,exp,600,,,,
0.4,exp,600,,,,
0.7,exp,700,,,,
0.1,exp,800,,,,
0.4,exp,700,,,,
0.1,exp,800,,,,
0.4,exp,850,,,,
0.4,exp,750,,,,
0.7,exp,700,,,,
0.7,exp,750,,,,
0.1,exp,700,,,,
0.4,exp,700,,,,
0.1,exp,750,,,,
0.7,exp,750,,,,
0.7,exp,900,,,,
0.1,exp,900,,,,
0.4,exp,900,,,,
0.4,exp,900,,,,
0.1,exp,700,,,,
0.4,exp,600,,,,
0.7,unexp,200,,,,
0.4,unexp,200,,,,
0.1,unexp,100,,,,
0.1,unexp,100,,,,
0.1,unexp,100,,,,
0.4,unexp,100,,,,
0.1,unexp,100,,,,
0.7,unexp,100,,,,
0.1,unexp,100,,,,
0.1,unexp,100,,,,
0.7,unexp,100,,,,
0.4,unexp,100,,,,
0.1,unexp,100,,,,
0.4,unexp,100,,,,
0.7,unexp,100,,,,
0.1,unexp,100,,,,
0.1,unexp,100,,,,
0.1,unexp,100,,,,
0.7,unexp,100,,,,
0.4,unexp,100,,,,
0.1,unexp,100,,,,
0.1,unexp,200,,,,
0.4,unexp,200,,,,
0.7,unexp,100,,,,
0.4,unexp,100,,,,
0.1,unexp,100,,,,
0.1,unexp,100,,,,
0.7,unexp,100,,,,
0.4,unexp,100,,,,
0.7,unexp,200,,,,
0.1,unexp,100,,,,
0.1,unexp,100,,,,
0.1,unexp,100,,,,
0.4,unexp,100,,,,
0.1,unexp,100,,,,
0.7,unexp,100,,,,
0.1,unexp,150,,,,
0.4,unexp,150,,,,
0.1,unexp,150,,,,
0.7,unexp,150,,,,
0.4,unexp,150,,,,
0.7,unexp,200,,,,
0.1,unexp,200,,,,
0.1,unexp,200,,,,
0.1,unexp,100,,,,
0.7,unexp,150,,,,
0.1,unexp,200,,,,
0.4,unexp,150,,,,
0.4,unexp,150,,,,
0.1,unexp,150,,,,
0.1,unexp,150,,,,
0.7,unexp,150,,,,
0.4,unexp,200,,,,
0.1,unexp,200,,,,
0.1,unexp,150,,,,
0.7,unexp,150,,,,
0.7,unexp,150,,,,
0.1,unexp,150,,,,
0.1,unexp,150,,,,
0.4,unexp,150,,,,
0.7,unexp,150,,,,
0.4,unexp,150,,,,
0.1,unexp,150,,,,
0.1,unexp,700,,,,
0.4,unexp,150,,,,
0.7,unexp,200,,,,
0.1,unexp,200,,,,
0.1,unexp,150,,,,
0.7,unexp,150,,,,
0.1,unexp,150,,,,
0.1,unexp,150,,,,
0.4,unexp,150,,,,
0.7,unexp,200,,,,
0.1,unexp,150,,,,
0.1,unexp,500,,,,
0.4,unexp,150,,,,
0.1,unexp,150,,,,
0.4,unexp,150,,,,
0.7,unexp,150,,,,
0.1,unexp,150,,,,
0.7,unexp,150,,,,
0.4,unexp,150,,,,
0.1,unexp,150,,,,
0.1,unexp,150,,,,
0.4,unexp,150,,,,
0.1,unexp,200,,,,
0.1,unexp,150,,,,
0.7,unexp,200,,,,
0.4,unexp,150,,,,
0.1,unexp,200,,,,
0.7,unexp,100,,,,
0.1,unexp,150,,,,
0.7,unexp,200,,,,
0.1,unexp,100,,,,
0.1,unexp,100,,,,
0.4,unexp,100,,,,
0.1,unexp,100,,,,
0.7,unexp,150,,,,
0.1,unexp,150,,,,
0.4,unexp,250,,,,
